bitter  adj. 苦的
bitterly  adv. 苦涩地
bizarre  adj. 奇异的（指态度
blade  n. 叶片
blast  n. 爆炸
blaze  n.火焰
bleak  adj. 阴冷的
blend  vt. 混合vi. 混合
blow  n.殴打
blunder  n. 愚蠢（或粗心）的错误
blush  vi. 脸红
bolt  n.门闩
boot  n.美 (长统)靴
booth  n. 货摊
bore  vi. 钻孔vt. 钻孔
bosom  n. 胸
bough  n. 大树枝n. (Bough)人名
bow  n. 弓
brace  n.支柱
brake  n. 刹车
brass  n. 黄铜
breadth  n. 宽度
breeze  n. 微风
bribe  v. 向……行贿
brick  n. 砖
brim  n. 边
brisk  adj. 敏锐的
bristle  n. 刚毛
brittle  adj. 易碎的
broad  adj. 宽的
brood  n.(动物中鸟或家禽的)一窝
brook  n. 小溪
broom  n. 扫帚
brow  n. 眉
bruise  n. 擦伤
brutal  adj. 残忍的
brute  adj.残忍的
buckle  n. 带扣
bud  n. 芽
bulb  n. 电灯泡
bulk  n. 体积
bump  n. 肿块
bunch  n. 群
bundle  n. 束
butcher  n. 屠夫
cabin  n. 小屋
cabinet  n. 内阁
cable  n. 缆绳
cage  n. 笼
camel  n. [畜牧][脊椎] 骆驼
canal  n. 运河
canoe  n. 独木舟
canon  n. 标准
canteen  n. 食堂
canvas  n. 帆布vt. 用帆布覆盖
cargo  n. 货物
carrot  n. 胡萝卜诱饵
cart  n. 二轮运货马车vt. 用车装载vi. 驾运货马车
cassette  n. 卡带
cater  vt. 投合
catholic  adj. 天主教的
cattle  n. 牛
cavity  n. 腔
ceiling  n. 天花板
cement  n.水泥
centigrade  adj. 摄氏温度的
ceramic  adj. 陶瓷的
cereal  n. 谷类
chamber  n. （身体或器官内的）室
chaos  n. 混沌
characteristic  adj. 典型的
charity  n. 慈善
charming  adj. 迷人的
cheek  n. 面颊
cheese  n. [食品] 奶酪
cheque  n. 支票
cherish  vt. 珍爱
chimney  n. 烟囱
chin  n.下巴
chip  n.碎片
chord  n. 弦
chorus  n. 合唱队
chronic  adj. 慢性的
cinema  n. 电影
circus  n. 马戏
civilian  n. 平民
clamp  n.夹子
clash  n. 冲突
clasp  n. 扣子
clause  n. 条款
claw  n. 爪
clay  n. [土壤] 粘土
cling  vi. 坚持
cloak  n.斗蓬
closet  n. 壁橱
clumsy  adj. 笨拙的笨拙地不得当的不得当地
clutch  v. 紧握
coarse  adj. 粗糙的
cock  n. 公鸡
coherent  adj. 连贯的
coil  v.盘绕
collapse  n.倒塌
collar  n. 衣领
collide  vi. 碰撞
collision  n. 碰撞
colonel  n. 陆军上校n. (Colonel)人名
comet  n. [天] 彗星n. (Comet)人名
commander  n. 指挥官
commemorate  vt. 庆祝
commence  v. 开始
commend  vt. 推荐
commonly  adv. 一般地
communism  n. 共产主义
communist  n. 共产党员
commute  vi. （搭乘车、船等）通勤
comply  vi. 遵守
compulsory  adj. 义务的
comrade  n. 同志
conceal  vt. 隐藏
concede  vt. 承认
conceive  vt. 怀孕
concession  n. 让步
condense  vi. 浓缩
conduct  v. 组织
confer  vt. 授予
